Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,Month,Day
2023-05-11,145.0,146.5,144.0,146.5,140.862091,2171724,3,2023,5,11
2023-05-12,145.0,148.0,142.5,147.5,141.823608,4648558,3,2023,5,12
2023-05-15,148.5,155.0,148.0,152.0,146.150436,8073662,3,2023,5,15
2023-05-16,152.5,156.0,152.0,154.5,148.55423,7633762,3,2023,5,16
2023-05-17,154.5,156.5,153.0,155.5,149.515747,6377009,3,2023,5,17
2023-05-18,156.5,159.0,156.0,159.0,152.881042,5615107,3,2023,5,18
2023-05-19,160.0,161.0,156.0,157.0,150.958023,5906911,3,2023,5,19
2023-05-22,158.0,159.5,156.0,158.0,151.919525,4599937,3,2023,5,22
2023-05-23,157.5,159.0,156.5,158.5,152.400284,3930873,3,2023,5,23
2023-05-24,159.0,161.0,158.0,161.0,154.804077,5262019,3,2023,5,24
2023-05-25,166.5,168.5,161.5,162.5,156.246353,11837621,3,2023,5,25
2023-05-26,166.0,174.5,165.5,169.5,162.976959,15228771,3,2023,5,26
2023-05-29,170.5,171.5,166.0,168.0,161.534698,6417571,3,2023,5,29
2023-05-30,167.0,167.0,163.0,164.5,158.169388,5406706,3,2023,5,30
2023-05-31,166.5,167.5,164.0,166.0,159.611664,6691444,3,2023,5,31
2023-06-01,166.5,167.5,165.0,166.0,159.611664,5592050,3,2023,6,1
2023-06-02,167.0,173.0,166.0,171.5,164.899994,10194359,3,2023,6,2
2023-06-05,171.5,173.0,168.5,173.0,166.34227,4719010,3,2023,6,5
2023-06-06,173.0,174.5,170.5,173.5,166.823029,4318206,3,2023,6,6
2023-06-07,175.0,181.0,175.0,178.5,171.630615,9325053,3,2023,6,7
2023-06-08,180.0,183.0,177.5,180.0,173.072891,7164285,3,2023,6,8
2023-06-09,182.0,187.5,180.0,185.0,177.880463,10290298,3,2023,6,9
2023-06-12,186.0,186.5,176.5,178.0,171.149857,8684899,3,2023,6,12
2023-06-13,180.0,183.0,180.0,182.5,175.476669,5370008,3,2023,6,13
2023-06-14,181.5,181.5,177.5,179.0,172.111374,4000070,3,2023,6,14
2023-06-15,179.5,181.5,176.5,178.0,171.149857,6261859,3,2023,6,15
2023-06-16,177.0,180.0,174.0,178.0,171.149857,7679258,3,2023,6,16
2023-06-19,176.5,177.0,172.5,174.0,167.303787,6558312,3,2023,6,19
2023-06-20,174.5,175.5,172.0,174.0,167.303787,4321478,3,2023,6,20
2023-06-21,175.0,177.0,174.5,176.0,169.226822,3495301,3,2023,6,21
2023-06-26,174.5,177.0,172.5,175.5,168.746063,2808514,3,2023,6,26
2023-06-27,175.0,176.5,172.5,174.0,167.303787,3248723,3,2023,6,27
2023-06-28,175.0,176.0,171.5,172.5,165.861511,3256364,3,2023,6,28
2023-06-29,175.0,176.0,172.5,174.0,167.303787,3365766,3,2023,6,29
